"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"04/09/2014, 15:11:16:380";"Trace";"Set default parameter: pipeline_id; with value: 55BE5C81C6B043F49B14B6B46CBECD29";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"9932605E3F1A45A2A802A39C011B3F45"
"04/09/2014, 15:11:16:388";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"E0D9967DD87E4153A52DA39C011B3F4A"
"04/09/2014, 15:11:16:404";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"9AFAC2918FB04917AA8DA39C011B3F4E"
"04/09/2014, 15:11:16:406";"Trace";"Set default parameter: file_id; with value: BE4B9DFFD9FA410DA5E782E6197DFB75";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"8FE1717C0F6140119C56A39C011B3F4E"
"04/09/2014, 15:11:16:415";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"F9B694282C5241C09CBDA39C011B3F4E"
"04/09/2014, 15:11:16:424";"Trace";"Set default parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"D75F7C309B4B4BCC9BE6A39C011B3F53"
"04/09/2014, 15:11:16:427";"Trace";"Set default parameter: file_type_id; with value: SRF";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"55537604DAF54C139DE7A39C011B3F53"
"04/09/2014, 15:11:16:429";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"C624EEF036FA4D09A676A39C011B3F53"
"04/09/2014, 15:11:16:436";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"15EA43B17040440A8ACAA39C011B3F58"
"04/09/2014, 15:11:16:461";"Trace";"Resolving parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"17031E513551410E9D47A39C011B3F5D"
"04/09/2014, 15:11:16:462";"Trace";"Resolving parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"54C9AF97218D40BAAD5EA39C011B3F5D"
"04/09/2014, 15:11:16:470";"Trace";"Resolving parameter: file_type_id; with value: SRF;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"452B743C9D4B4CDBB058A39C011B3F61"
"04/09/2014, 15:11:16:492";"Trace";"Resolving parameter: side; with value: Platform;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"FB9AAE61F3AD4B69898CA39C011B3F66"
"04/09/2014, 15:11:16:503";"Trace";"Resolving parameter: transmission_mode; with value: 1;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"F2123E1494964A8883C1A39C011B3F6B"
"04/09/2014, 15:11:16:509";"Trace";"Resolving parameter: tid; with value: 954321;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"2123BBAC87014AF29526A39C011B3F6B"
"04/09/2014, 15:11:16:519";"Trace";"Resolving parameter: file_type_id; with value: SRF;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"3A349B96C8554165954BA39C011B3F6F"
"04/09/2014, 15:11:16:520";"Trace";"Resolving parameter: container_type_id; with value: FILE;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"AD55CD6DE4FA4441895BA39C011B3F6F"
"04/09/2014, 15:11:16:573";"Debug";"Parameter: int_current_encoding; has no values for ContainerType: FILE; FileType: SRF; tid: 954321; TMode: P; Side: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"4A0059BC0C8F416BB4F0A39C011B3F7D"
"04/09/2014, 15:11:16:600";"Debug";"Parameter: int_current_encoding; has no value for tid: 954321; TMode: P; Side: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"7616281D0AED43B09327A39C011B3F87"
"04/09/2014, 15:11:16:656";"Debug";"Parameter: int_new_encoding; has no values for ContainerType: FILE; FileType: SRF; tid: 954321; TMode: P; Side: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"204233520A3C45C9AC21A39C011B3F99"
"04/09/2014, 15:11:16:677";"Debug";"Parameter: int_new_encoding; has no value for tid: 954321; TMode: P; Side: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"7267BD1EFA6345E88BEFA39C011B3F9E"
"04/09/2014, 15:11:16:679";"Debug";"No file encoding will be applied";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"E59F5B64E4A24C6984AEA39C011B3F9E"
"04/09/2014, 15:11:16:686";"Info";"End step 1 execution successfully";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"6DBDD2230CA34B35BCDAA39C011B3FA3"
"04/09/2014, 15:11:16:711";"Info";">> Begin execution step: 5D753AF3A265413C8749A39C011B3E85; with order: 2";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"A1A23C6532C343F89C38A39C011B3FA8"
