"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"05/09/2014, 13:17:05:836";"Trace";"Set default parameter: pipeline_id; with value: ADA2D73F31084922979D751312199BD9";"";"Technical";"ADA2D73F31084922979D751312199BD9";"0BF0F90C3EE74479AB69A39D00FBE321"
"05/09/2014, 13:17:05:847";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"ADA2D73F31084922979D751312199BD9";"5E196CFAB3134B849A9AA39D00FBE321"
"05/09/2014, 13:17:05:854";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"BA7499D542C742C989E7A39D00FBE325"
"05/09/2014, 13:17:05:865";"Trace";"Set default parameter: file_id; with value: 8F442230CBF3481A8D993D244DA5B3B6";"";"Technical";"ADA2D73F31084922979D751312199BD9";"6E6338CE2AE949F193EAA39D00FBE325"
"05/09/2014, 13:17:05:876";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"ADA2D73F31084922979D751312199BD9";"C3845EAAD83740DEBB6AA39D00FBE32A"
"05/09/2014, 13:17:05:890";"Trace";"Set default parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf";"";"Technical";"ADA2D73F31084922979D751312199BD9";"65F4A307E3884FB49DEBA39D00FBE32F"
"05/09/2014, 13:17:05:898";"Trace";"Set default parameter: file_type_id; with value: SLP";"";"Technical";"ADA2D73F31084922979D751312199BD9";"9656BD8971A744298584A39D00FBE333"
"05/09/2014, 13:17:05:906";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"ADA2D73F31084922979D751312199BD9";"FAEB4F4CDAC04241874BA39D00FBE333"
"05/09/2014, 13:17:05:912";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"ADA2D73F31084922979D751312199BD9";"50795B8FF6C248CE8365A39D00FBE338"
"05/09/2014, 13:17:05:927";"Trace";"Resolving parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"5954D529BB1D43069A2BA39D00FBE338"
"05/09/2014, 13:17:05:942";"Trace";"Resolving parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"FE4C07CDC3D24BD0BF1AA39D00FBE33D"
"05/09/2014, 13:17:05:950";"Trace";"Resolving parameter: file_type_id; with value: SLP;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"2A399567B8C7425F84B9A39D00FBE341"
"05/09/2014, 13:17:05:962";"Trace";"Resolving parameter: side; with value: Platform;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"67C214B2D8FE4256AB20A39D00FBE346"
"05/09/2014, 13:17:05:972";"Trace";"Resolving parameter: transmission_mode; with value: 1;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"46F7FC0612D44671888FA39D00FBE346"
"05/09/2014, 13:17:05:990";"Trace";"Resolving parameter: tid; with value: 954321;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"85A0D29DCC2D49348CC9A39D00FBE34F"
"05/09/2014, 13:17:06:002";"Trace";"Resolving parameter: file_type_id; with value: SLP;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"A47A5B2550B548C883E6A39D00FBE34F"
"05/09/2014, 13:17:06:007";"Trace";"Resolving parameter: container_type_id; with value: FILE;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"622460CA0BBB44FBBFD6A39D00FBE354"
"05/09/2014, 13:17:06:067";"Debug";"Parameter: int_current_encoding; has no values for ContainerType: FILE; FileType: SLP; tid: 954321; TMode: P; Side: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"2B25A8D2448344C797EDA39D00FBE362"
"05/09/2014, 13:17:06:095";"Debug";"Parameter: int_current_encoding; has no value for tid: 954321; TMode: P; Side: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"CD45CA64786B460C8FB0A39D00FBE36C"
"05/09/2014, 13:17:06:148";"Debug";"Parameter: int_new_encoding; has no values for ContainerType: FILE; FileType: SLP; tid: 954321; TMode: P; Side: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"A3C474166AB8421FAC69A39D00FBE37E"
"05/09/2014, 13:17:06:179";"Debug";"Parameter: int_new_encoding; has no value for tid: 954321; TMode: P; Side: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"B296CCA2EAB84CBAA7C7A39D00FBE388"
"05/09/2014, 13:17:06:203";"Debug";"No file encoding will be applied";"";"Technical";"ADA2D73F31084922979D751312199BD9";"F518C9325941462FB237A39D00FBE38C"
"05/09/2014, 13:17:06:210";"Info";"End step 1 execution successfully";"";"Technical";"ADA2D73F31084922979D751312199BD9";"E178F7EC76024FEC8D35A39D00FBE391"
"05/09/2014, 13:17:06:230";"Info";">> Begin execution step: 7C0839932F1F49458F0FA39D00FBE281; with order: 2";"";"Technical";"ADA2D73F31084922979D751312199BD9";"ED180936EDA942B5BC17A39D00FBE396"
