"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"09/10/2014, 15:55:20:089";"Debug";"Registering parameters for step 14F4949202124FD38163A3BF0127570C";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"22194296FE5D4FEBA418A3BF01275972"
"09/10/2014, 15:55:20:102";"Trace";"Set default parameter: pipeline_id; with value: CCF90E27DBD04F509C995D876DA9C944";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"B4E7FFC8699E422CA7ACA3BF01275977"
"09/10/2014, 15:55:20:120";"Trace";"Set default parameter: tid; with value: 010295";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"2D03632C5B544A5BB377A3BF0127597C"
"09/10/2014, 15:55:20:135";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"67F95B52BF5646DF8CCFA3BF01275981"
"09/10/2014, 15:55:20:148";"Trace";"Set default parameter: file_id; with value: 9966B19FCCC64E108387BFD1C2876A4C";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"3BAF971725B449B4A54BA3BF01275985"
"09/10/2014, 15:55:20:163";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSin\{f243531d8b614cb9ac13fd3cc2cfcaeb}";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"8EA5B125C55D4FD49DC2A3BF0127598A"
"09/10/2014, 15:55:20:180";"Trace";"Set default parameter: file_name; with value: EP2_010295_20141009_155515_IE005802_A80200_0000SIF_00071_FILE_MainSIFSignOff.txt";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"7959917F26C4464DA7F5A3BF0127598F"
"09/10/2014, 15:55:20:182";"Trace";"Set default parameter: file_type_id; with value: SIF";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"8034BF377BE347DCBCAEA3BF0127598F"
"09/10/2014, 15:55:20:213";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"92CAB4E10CCA49A1876DA3BF01275998"
"09/10/2014, 15:55:20:215";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"8ED85C3FFC6C422CA3FFA3BF01275998"
"09/10/2014, 15:55:20:287";"Trace";"Set parameter: input_file_info_error; with value: ";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"E2D567BFA5E843C38199A3BF012759AF"
