"19/09/2014, 11:16:13:349";"Info";"End step 0 execution successfully";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"2B4A540E99E549F5B59EA3AB00DAB054"
"19/09/2014, 11:16:13:414";"Info";">> Begin execution step: 62784E0BE0464FEC926FA3AB00DAAEB3; with order: 1";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"A850E603962C4B54B373A3AB00DAB067"
"19/09/2014, 11:16:13:442";"Debug";"Command: FC180CE58B1241A79323B4782A0669EA; Name: Log data in legacy UhraFileEvents table";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"143891A4C9D842E5B49FA3AB00DAB070"
"19/09/2014, 11:16:13:463";"Debug";"Registering parameters for step 62784E0BE0464FEC926FA3AB00DAAEB3";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"16F509CDA7674E4B8E67A3AB00DAB075"
"19/09/2014, 11:16:13:485";"Trace";"Set default parameter: pipeline_id; with value: 228CF7CAEC9347699C47C090611CF6A7";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"D93590BB7EBB401D9555A3AB00DAB079"
"19/09/2014, 11:16:13:507";"Trace";"Set default parameter: tid; with value: 010295";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"725A5D156B9C41229180A3AB00DAB083"
"19/09/2014, 11:16:13:528";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"980F1C116EB0406ABE16A3AB00DAB087"
"19/09/2014, 11:16:13:550";"Trace";"Set default parameter: file_id; with value: 8FC19680473D482B8320DAD4577CA16A";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"DBE0A19F8F844DC58E7FA3AB00DAB091"
"19/09/2014, 11:16:13:563";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSinV1\{ed3a11f3ff4d49f692365e4007360780}";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"10510E7F9F894896814BA3AB00DAB091"
"19/09/2014, 11:16:13:576";"Trace";"Set default parameter: file_name; with value: EP2_010295_20140917_090534_IE008056_000000_0000LFF_00041_FILE_chuck.txt";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"A5341852518E4D63B205A3AB00DAB095"
"19/09/2014, 11:16:13:584";"Trace";"Set default parameter: file_type_id; with value: LFF";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"E1621C8D4C86404AAA51A3AB00DAB09A"
"19/09/2014, 11:16:13:594";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"477C3AF1F6C0446D9357A3AB00DAB09A"
"19/09/2014, 11:16:13:600";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"6A4619452D7E4364A113A3AB00DAB09F"
"19/09/2014, 11:16:13:648";"Trace";"Set parameter: input_file_info_error; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"071F5AB71D414D1985E1A3AB00DAB0AD"
